train_size,n_params,n_hidden_layers,n_filters,test_accuracy
718,7994,1,16,0.9733036756515503
718,15978,1,32,0.9655172228813171
718,23962,1,48,0.9655172228813171
718,31946,1,64,0.9666295647621155
718,7018,2,16,0.9699666500091553
718,16074,2,32,0.975528359413147
718,27178,2,48,0.9733036756515503
718,40330,2,64,0.9688543081283569
718,6362,3,16,0.9710789918899536
718,16810,3,32,0.975528359413147
718,31354,3,48,0.9744160175323486
718,49994,3,64,0.978865385055542
718,6026,4,16,0.9577308297157288
718,18186,4,32,0.9688543081283569
718,36490,4,48,0.972191333770752
718,60938,4,64,0.978865385055542
718,6010,5,16,0.9477196931838989
718,20202,5,32,0.9521690607070923
718,42586,5,48,0.9655172228813171
718,73162,5,64,0.9655172228813171
1005,7994,1,16,0.9851852059364319
1005,15978,1,32,0.9851852059364319
1005,23962,1,48,0.9851852059364319
1005,31946,1,64,0.9833333492279053
1005,7018,2,16,0.9851852059364319
1005,16074,2,32,0.9870370626449585
1005,27178,2,48,0.9833333492279053
1005,40330,2,64,0.9833333492279053
1005,6362,3,16,0.9833333492279053
1005,16810,3,32,0.9888888597488403
1005,31354,3,48,0.9888888597488403
1005,49994,3,64,0.9888888597488403
1005,6026,4,16,0.979629635810852
1005,18186,4,32,0.9888888597488403
1005,36490,4,48,0.9870370626449585
1005,60938,4,64,0.9888888597488403
1005,6010,5,16,0.9777777791023254
1005,20202,5,32,0.9722222089767456
1005,42586,5,48,0.9777777791023254
1005,73162,5,64,0.9851852059364319
1293,7994,1,16,0.9777777791023254
1293,15978,1,32,0.9833333492279053
1293,23962,1,48,0.9833333492279053
1293,31946,1,64,0.9777777791023254
1293,7018,2,16,0.9888888597488403
1293,16074,2,32,0.9888888597488403
1293,27178,2,48,0.9833333492279053
1293,40330,2,64,0.9833333492279053
1293,6362,3,16,0.9888888597488403
1293,16810,3,32,0.9833333492279053
1293,31354,3,48,1.0
1293,49994,3,64,0.9888888597488403
1293,6026,4,16,0.9833333492279053
1293,18186,4,32,0.9944444298744202
1293,36490,4,48,0.9888888597488403
1293,60938,4,64,0.9888888597488403
1293,6010,5,16,0.9833333492279053
1293,20202,5,32,0.9833333492279053
1293,42586,5,48,0.9944444298744202
1293,73162,5,64,0.9944444298744202
